mini_fabrica,item_code,item_desc,color_code,color_desc,abast,saldo_casa,saldo_origem
Mini Fabrica - 26,44187,CACHAREL SOFT(B P/V 11/12)+ESP PU,15745,PRETO 01,-3.0445,177.00000,nacional
Mini Fabrica - 26,44187,CACHAREL SOFT(B P/V 11/12)+ESP PU,89673,TAN 1080,-46.8335,642.00000,nacional
Mini Fabrica - 26,56577,FORRO MILANO PU 0.7(B O/I 2014),52531,NUDE 658,-13.3672,150.00000,nacional
Mini Fabrica - 26,56577,FORRO MILANO PU 0.7(B O/I 2014),95373,CAMEL 1165,-1.0355,57.00000,nacional
Mini Fabrica - 26,58702,FORRO CACHAREL CONFORT(MD O/I,29452,BEGE 435,-4.4406,575.60000,nacional
Mini Fabrica - 26,67345,NAPA TURIM PU 1.0 + SARJA 7030/40,105897,OSTRA 1431/C,-17.9832,30.40000,nacional
Mini Fabrica - 26,67345,NAPA TURIM PU 1.0 + SARJA 7030/40,107823,OLIVE 1469/CR,-0.3985,25.00000,nacional
Mini Fabrica - 26,94157,NAPA TURIM PU 1.0+VELVET,95701,CAMEL 1165/CR,-5.522,61.20000,nacional
Mini Fabrica - 26,114196,NAPA PELE STRECH PU 1.0 (MD O/I 2,53180,NUDE 658/CREM,-0.72,36.40000,nacional
Mini Fabrica - 26,143760,METALIZADO LONDON PU 0.9+BASE,15787,PRETO 01/PRET,-1.872,1.20000,nacional
Mini Fabrica - 26,185735,NAPA RELAX PU 2.0 (MD O/I 25) -IM,35312,BRANCO OFF,-23.3061,50.00000,nacional
Mini Fabrica - 26,185735,NAPA RELAX PU 2.0 (MD O/I 25) -IM,108729,TERRACOTA,-36.2921,50.00000,nacional
Mini Fabrica - 26,187451,NYLON KANSAS(ACT O/I22)+ESPUMA,41291,BEGE 435/BRAN,-24.48,71.50000,nacional
Mini Fabrica - 26,200476,NAPA TRESSE TORONTO PU 0.9 (B P,15758,PRETO 01/PRET,-6.4744,10.40000,nacional
